url_produk,nama_produk,nama_produk_clean,kategori,sub_kategori,marketplace,lokasi,lokasi_clean,nama_toko,harga_produk,jumlah_terjual,rating,harga_log_scaled,jumlah_log_scaled,rating_scaled,revenue_proxy_log,popularity_score,kategori_encoded,sub_kategori_encoded,marketplace_encoded,lokasi_encoded,mp_lazada,mp_shopee,mp_tokopedia,lokasi_Bekasi,lokasi_Bogor,lokasi_Depok,lokasi_Jakarta,lokasi_Lainnya,lokasi_Tangerang,is_bogor,is_makanan,is_minuman,is_fashion,is_souvenir,harga_tier
https://www.tokopedia.com/100persenbogorpisan/gantungan-kunci-bogor-oleh-oleh-khas-bogor-dua-sisi-premium-1729582243363850597?extParam=ivf%3Dfalse%26keyword%3Daksesoriskhasbogor%26search_id%3D20260701045100357A6FDF7642BF120N2E%26src%3Dsearch,Gantungan Kunci Bogor / Oleh-oleh Khas Bogor/Dua Sisi/ Premium,gantungan kunci dua sisi premium,Aksesoris & Souvenir,Aksesoris & Souvenir,tokopedia,Bogor,Bogor,100persen.bogorpisan,6900.0,100.0,4.9,0.4855833286859381,0.6995128708733925,0.9750000000000001,13.444448325847754,22.614090532522173,0,0,2,1,False,False,True,False,True,False,False,False,False,1,0,0,0,1,0
https://www.tokopedia.com/21import/keripik-talas-bogor-gurih-keripik-stik-talas-bogor-asli-250-gr?extParam=ivf%3Dfalse%26keyword%3Doleh-olehkhasbogor%26search_id%3D20260701035234F61D6947467CCD2EDKYW%26src%3Dsearch,Keripik Talas Bogor Gurih | Keripik Stik Talas Bogor Asli | 250 Gr,keripik talas gurih keripik stik talas asli gr,Makanan,Camilan & Snack,tokopedia,Jakarta Barat,Jakarta,21 import store,51000.0,1.0,4.8,0.8558928420727205,0.0,0.95,10.839600519357369,3.3271064666877375,1,2,2,3,False,False,True,False,False,False,True,False,False,0,1,0,0,0,1
https://www.tokopedia.com/abdul-rokhim1/kaos-bogor-tugu-kujang-kaos-buitenzorg-kaos-bogor-rain-city-tshirt-kaos-bogor-distronomj0-1735277828626089552-1735277828626286160?extParam=ivf%3Dfalse%26keyword%3Dbaju+khas+bogor%26search_id%3D2026070104595440008B9A5380FC1AC4ZX%26src%3Dsearch,KAOS BOGOR TUGU KUJANG - KAOS BUITENZORG - KAOS BOGOR RAIN CITY - Tshirt Kaos Bogor Distronomj0,kaos tugu kujang kaos buitenzorg kaos rain city tshirt kaos distronomj0,Pakaian & Fashion,Atasan & Pakaian Kasual,tokopedia,Jakarta Barat,Jakarta,ABDUL ROKHIM1,69999.0,1.0,5.0,0.9145168518279545,0.0,1.0,11.156250521031495,3.4657359027997265,3,1,2,3,False,False,True,False,False,False,True,False,False,0,0,0,1,0,1
https://www.tokopedia.com/abizar-olshop/kopi-gula-liong-bulan-legend-khas-bogor-1-pak-2-renceng-20-sachet-1729974193751230720?extParam=ivf%3Dfalse%26keyword%3Doleh-olehkhasbogor%26search_id%3D20260701035234F61D6947467CCD2EDKYW%26src%3Dsearch,Kopi Gula Liong Bulan Legend Khas Bogor 1 pak 2 renceng (20 sachet),kopi gula liong bulan legend pak renceng sachet,Minuman,Kopi,tokopedia,Bogor,Bogor,Abizar olshop_NEW,43900.0,543.5,4.9,0.8281391193383971,1.0,0.9750000000000001,16.98769934753629,30.869352917627776,2,3,2,1,False,False,True,False,True,False,False,False,False,1,0,1,0,0,1
https://shopee.co.id/keripik-pisang-coklat-aburasa-oleh-oleh-khas-bogor-i.88033266.27012037809?extraParams=%7B%22display_model_id%22%3A187826317425%2C%22model_selection_logic%22%3A2%7D&sp_atk=95e6a4e8-c16d-4073-8d52-b0512f415ebf&xptdk=95e6a4e8-c16d-4073-8d52-b0512f415ebf,keripik pisang coklat aburasa oleh oleh khas bogor,keripik pisang coklat aburasa,Makanan,Camilan & Snack,shopee,Bogor,Bogor,Aburasa Snack,32990.0,10.0,5.0,0.7752447108645173,0.3040543955478092,1.0,12.706547888433661,11.989476363991853,1,2,1,1,False,True,False,False,True,False,False,False,False,1,1,0,0,0,1
https://www.tokopedia.com/ada354merchandise-300/oleh-oleh-khas-bogor-indonesia-promo-gantungan-kunci-bogor-gantungan-kunci-akrilik-dua-sisi-2-sisi-dengan-ring-putar-stainless-tebal-dan-kuat-untuk-tas-pintu-motor-mobil-dll-1733185590029944235?extParam=ivf%3Dfalse%26keyword%3Daksesoriskhasbogor%26search_id%3D20260701045100357A6FDF7642BF120N2E%26src%3Dsearch,OLEH-OLEH KHAS BOGOR INDONESIA| PROMO GANTUNGAN KUNCI BOGOR| GANTUNGAN KUNCI AKRILIK DUA SISI 2 SISI DENGAN RING PUTAR STAINLESS TEBAL DAN KUAT UNTUK TAS PINTU MOTOR MOBIL DLL,indonesia promo gantungan kunci gantungan kunci akrilik dua sisi sisi ring putar stainless tebal kuat tas pintu motor mobil dll,Aksesoris & Souvenir,Aksesoris & Souvenir,tokopedia,Jakarta Timur,Jakarta,ada354merchandise_NEW,3990.0,100.0,5.0,0.3841971167445357,0.6995128708733925,1.0,12.896719202134523,23.075602584206298,0,0,2,3,False,False,True,False,False,False,True,False,False,0,0,0,0,1,0
https://www.tokopedia.com/ada354merchandise-300/gantungan-kunci-akrilik-dua-sisi-khas-kota-bogor-indonesia-keychain-1731318526306649515?extParam=ivf%3Dfalse%26keyword%3Daksesoriskhasbogor%26search_id%3D20260701045100357A6FDF7642BF120N2E%26src%3Dsearch,Gantungan Kunci Akrilik Dua Sisi Khas Kota Bogor Indonesia - Keychain,gantungan kunci akrilik dua sisi kota indonesia keychain,Aksesoris & Souvenir,Aksesoris & Souvenir,tokopedia,Jakarta Timur,Jakarta,ada354merchandise_NEW,8650.0,100.0,5.0,0.5274261515659022,0.6995128708733925,1.0,13.670485941982712,23.075602584206298,0,0,2,3,False,False,True,False,False,False,True,False,False,0,0,0,0,1,0
https://www.tokopedia.com/ada354merchandise-300/gantungan-kunci-akrilik-dua-sisi-khas-kota-bogor-indonesia-keychain-1731318526306649515?extParam=ivf%3Dfalse%26keyword%3Dbajukhasbogor%26search_id%3D2026070104595440008B9A5380FC1AC4ZX%26src%3Dsearch,Gantungan Kunci Akrilik Dua Sisi Khas Kota Bogor Indonesia - Keychain,gantungan kunci akrilik dua sisi kota indonesia keychain,Aksesoris & Souvenir,Aksesoris & Souvenir,tokopedia,Jakarta Timur,Jakarta,ada354merchandise_NEW,8650.0,100.0,5.0,0.5274261515659022,0.6995128708733925,1.0,13.670485941982712,23.075602584206298,0,0,2,3,False,False,True,False,False,False,True,False,False,0,0,0,0,1,0
https://www.tokopedia.com/adibashop83/kopi-liong-bogor-5-pak-10-renteng-1729647089417553782?extParam=ivf%3Dfalse%26keyword%3Doleh-olehkhasbogor%26search_id%3D20260701035234F61D6947467CCD2EDKYW%26src%3Dsearch,kopi liong bogor 5 pak 10 renteng,kopi liong pak renteng,Minuman,Kopi,tokopedia,Bogor,Bogor,Adibashop83,111075.75,543.5,4.9,1.0000000000000002,1.0,0.9750000000000001,17.91599740310165,30.869352917627776,2,3,2,1,False,False,True,False,True,False,False,False,False,1,0,1,0,0,2
https://www.tokopedia.com/adibashop83/kopi-liong-4-pak-8-renteng-asli-bogor-1729647106753595254?extParam=ivf%3Dfalse%26keyword%3Doleh-olehkhasbogor%26search_id%3D20260701035234F61D6947467CCD2EDKYW%26src%3Dsearch,kopi liong 4 pak 8 renteng asli bogor,kopi liong pak renteng asli,Minuman,Kopi,tokopedia,Bogor,Bogor,Adibashop83,111075.75,50.0,5.0,1.0000000000000002,0.5776421886787662,1.0,15.52999086546121,19.659128163621627,2,3,2,1,False,False,True,False,True,False,False,False,False,1,0,1,0,0,2
